"STATISTIC","Statistic Label","TLIST(Q1)","Quarter","C02196V02652","State","UNIT","VALUE"
"VSQ04C1","Marriages Registered","19601","1960Q1","-","State","Number","2987"
"VSQ04C1","Marriages Registered","19602","1960Q2","-","State","Number","3501"
"VSQ04C1","Marriages Registered","19603","1960Q3","-","State","Number","5900"
"VSQ04C1","Marriages Registered","19604","1960Q4","-","State","Number","3106"
"VSQ04C1","Marriages Registered","19611","1961Q1","-","State","Number","2179"
"VSQ04C1","Marriages Registered","19612","1961Q2","-","State","Number","3959"
"VSQ04C1","Marriages Registered","19613","1961Q3","-","State","Number","5722"
"VSQ04C1","Marriages Registered","19614","1961Q4","-","State","Number","3280"
"VSQ04C1","Marriages Registered","19621","1962Q1","-","State","Number","2732"
"VSQ04C1","Marriages Registered","19622","1962Q2","-","State","Number","3385"
"VSQ04C1","Marriages Registered","19623","1962Q3","-","State","Number","6157"
"VSQ04C1","Marriages Registered","19624","1962Q4","-","State","Number","3135"
"VSQ04C1","Marriages Registered","19631","1963Q1","-","State","Number","2743"
"VSQ04C1","Marriages Registered","19632","1963Q2","-","State","Number","3342"
"VSQ04C1","Marriages Registered","19633","1963Q3","-","State","Number","5816"
"VSQ04C1","Marriages Registered","19634","1963Q4","-","State","Number","3397"
"VSQ04C1","Marriages Registered","19641","1964Q1","-","State","Number","2446"
"VSQ04C1","Marriages Registered","19642","1964Q2","-","State","Number","4063"
"VSQ04C1","Marriages Registered","19643","1964Q3","-","State","Number","6019"
"VSQ04C1","Marriages Registered","19644","1964Q4","-","State","Number","3413"
"VSQ04C1","Marriages Registered","19651","1965Q1","-","State","Number","3446"
"VSQ04C1","Marriages Registered","19652","1965Q2","-","State","Number","3489"
"VSQ04C1","Marriages Registered","19653","1965Q3","-","State","Number","6274"
"VSQ04C1","Marriages Registered","19654","1965Q4","-","State","Number","3455"
"VSQ04C1","Marriages Registered","19661","1966Q1","-","State","Number","3410"
"VSQ04C1","Marriages Registered","19662","1966Q2","-","State","Number","3349"
"VSQ04C1","Marriages Registered","19663","1966Q3","-","State","Number","6359"
"VSQ04C1","Marriages Registered","19664","1966Q4","-","State","Number","3609"
"VSQ04C1","Marriages Registered","19671","1967Q1","-","State","Number","3229"
"VSQ04C1","Marriages Registered","19672","1967Q2","-","State","Number","3935"
"VSQ04C1","Marriages Registered","19673","1967Q3","-","State","Number","6514"
"VSQ04C1","Marriages Registered","19674","1967Q4","-","State","Number","3927"
"VSQ04C1","Marriages Registered","19681","1968Q1","-","State","Number","3826"
"VSQ04C1","Marriages Registered","19682","1968Q2","-","State","Number","3904"
"VSQ04C1","Marriages Registered","19683","1968Q3","-","State","Number","6958"
"VSQ04C1","Marriages Registered","19684","1968Q4","-","State","Number","4104"
"VSQ04C1","Marriages Registered","19691","1969Q1","-","State","Number","4261"
"VSQ04C1","Marriages Registered","19692","1969Q2","-","State","Number","4121"
"VSQ04C1","Marriages Registered","19693","1969Q3","-","State","Number","7397"
"VSQ04C1","Marriages Registered","19694","1969Q4","-","State","Number","4084"
"VSQ04C1","Marriages Registered","19701","1970Q1","-","State","Number","3739"
"VSQ04C1","Marriages Registered","19702","1970Q2","-","State","Number","4938"
"VSQ04C1","Marriages Registered","19703","1970Q3","-","State","Number","7557"
"VSQ04C1","Marriages Registered","19704","1970Q4","-","State","Number","4544"
"VSQ04C1","Marriages Registered","19711","1971Q1","-","State","Number","4463"
"VSQ04C1","Marriages Registered","19712","1971Q2","-","State","Number","4967"
"VSQ04C1","Marriages Registered","19713","1971Q3","-","State","Number","7708"
"VSQ04C1","Marriages Registered","19714","1971Q4","-","State","Number","4876"
"VSQ04C1","Marriages Registered","19721","1972Q1","-","State","Number","4763"
"VSQ04C1","Marriages Registered","19722","1972Q2","-","State","Number","5006"
"VSQ04C1","Marriages Registered","19723","1972Q3","-","State","Number","7626"
"VSQ04C1","Marriages Registered","19724","1972Q4","-","State","Number","4907"
"VSQ04C1","Marriages Registered","19731","1973Q1","-","State","Number","5088"
"VSQ04C1","Marriages Registered","19732","1973Q2","-","State","Number","5006"
"VSQ04C1","Marriages Registered","19733","1973Q3","-","State","Number","7793"
"VSQ04C1","Marriages Registered","19734","1973Q4","-","State","Number","4929"
"VSQ04C1","Marriages Registered","19741","1974Q1","-","State","Number","5013"
"VSQ04C1","Marriages Registered","19742","1974Q2","-","State","Number","4788"
"VSQ04C1","Marriages Registered","19743","1974Q3","-","State","Number","7870"
"VSQ04C1","Marriages Registered","19744","1974Q4","-","State","Number","5162"
"VSQ04C1","Marriages Registered","19751","1975Q1","-","State","Number","4414"
"VSQ04C1","Marriages Registered","19752","1975Q2","-","State","Number","4584"
"VSQ04C1","Marriages Registered","19753","1975Q3","-","State","Number","7285"
"VSQ04C1","Marriages Registered","19754","1975Q4","-","State","Number","4997"
"VSQ04C1","Marriages Registered","19761","1976Q1","-","State","Number","4248"
"VSQ04C1","Marriages Registered","19762","1976Q2","-","State","Number","4430"
"VSQ04C1","Marriages Registered","19763","1976Q3","-","State","Number","7549"
"VSQ04C1","Marriages Registered","19764","1976Q4","-","State","Number","4353"
"VSQ04C1","Marriages Registered","19771","1977Q1","-","State","Number","4632"
"VSQ04C1","Marriages Registered","19772","1977Q2","-","State","Number","4145"
"VSQ04C1","Marriages Registered","19773","1977Q3","-","State","Number","7308"
"VSQ04C1","Marriages Registered","19774","1977Q4","-","State","Number","3931"
"VSQ04C1","Marriages Registered","19781","1978Q1","-","State","Number","4310"
"VSQ04C1","Marriages Registered","19782","1978Q2","-","State","Number","4576"
"VSQ04C1","Marriages Registered","19783","1978Q3","-","State","Number","7495"
"VSQ04C1","Marriages Registered","19784","1978Q4","-","State","Number","4803"
"VSQ04C1","Marriages Registered","19791","1979Q1","-","State","Number","3987"
"VSQ04C1","Marriages Registered","19792","1979Q2","-","State","Number","4248"
"VSQ04C1","Marriages Registered","19793","1979Q3","-","State","Number","7572"
"VSQ04C1","Marriages Registered","19794","1979Q4","-","State","Number","4999"
"VSQ04C1","Marriages Registered","19801","1980Q1","-","State","Number","4855"
"VSQ04C1","Marriages Registered","19802","1980Q2","-","State","Number","4782"
"VSQ04C1","Marriages Registered","19803","1980Q3","-","State","Number","7632"
"VSQ04C1","Marriages Registered","19804","1980Q4","-","State","Number","4523"
"VSQ04C1","Marriages Registered","19811","1981Q1","-","State","Number","4117"
"VSQ04C1","Marriages Registered","19812","1981Q2","-","State","Number","4754"
"VSQ04C1","Marriages Registered","19813","1981Q3","-","State","Number","7346"
"VSQ04C1","Marriages Registered","19814","1981Q4","-","State","Number","4395"
"VSQ04C1","Marriages Registered","19821","1982Q1","-","State","Number","4183"
"VSQ04C1","Marriages Registered","19822","1982Q2","-","State","Number","4539"
"VSQ04C1","Marriages Registered","19823","1982Q3","-","State","Number","7255"
"VSQ04C1","Marriages Registered","19824","1982Q4","-","State","Number","4247"
"VSQ04C1","Marriages Registered","19831","1983Q1","-","State","Number","4088"
"VSQ04C1","Marriages Registered","19832","1983Q2","-","State","Number","4614"
"VSQ04C1","Marriages Registered","19833","1983Q3","-","State","Number","6607"
"VSQ04C1","Marriages Registered","19834","1983Q4","-","State","Number","4158"
"VSQ04C1","Marriages Registered","19841","1984Q1","-","State","Number","2949"
"VSQ04C1","Marriages Registered","19842","1984Q2","-","State","Number","4237"
"VSQ04C1","Marriages Registered","19843","1984Q3","-","State","Number","7351"
"VSQ04C1","Marriages Registered","19844","1984Q4","-","State","Number","3976"
"VSQ04C1","Marriages Registered","19851","1985Q1","-","State","Number","2470"
"VSQ04C1","Marriages Registered","19852","1985Q2","-","State","Number","4368"
"VSQ04C1","Marriages Registered","19853","1985Q3","-","State","Number","7998"
"VSQ04C1","Marriages Registered","19854","1985Q4","-","State","Number","3955"
"VSQ04C1","Marriages Registered","19861","1986Q1","-","State","Number","2158"
"VSQ04C1","Marriages Registered","19862","1986Q2","-","State","Number","4406"
"VSQ04C1","Marriages Registered","19863","1986Q3","-","State","Number","8002"
"VSQ04C1","Marriages Registered","19864","1986Q4","-","State","Number","4007"
"VSQ04C1","Marriages Registered","19871","1987Q1","-","State","Number","2134"
"VSQ04C1","Marriages Registered","19872","1987Q2","-","State","Number","4222"
"VSQ04C1","Marriages Registered","19873","1987Q3","-","State","Number","8002"
"VSQ04C1","Marriages Registered","19874","1987Q4","-","State","Number","3951"
"VSQ04C1","Marriages Registered","19881","1988Q1","-","State","Number","2164"
"VSQ04C1","Marriages Registered","19882","1988Q2","-","State","Number","4287"
"VSQ04C1","Marriages Registered","19883","1988Q3","-","State","Number","8034"
"VSQ04C1","Marriages Registered","19884","1988Q4","-","State","Number","3897"
"VSQ04C1","Marriages Registered","19891","1989Q1","-","State","Number","2049"
"VSQ04C1","Marriages Registered","19892","1989Q2","-","State","Number","4809"
"VSQ04C1","Marriages Registered","19893","1989Q3","-","State","Number","8509"
"VSQ04C1","Marriages Registered","19894","1989Q4","-","State","Number","2807"
