name,nickname,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,date_of_birth,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes
Robert Drysdale,,7,0,0,190.5,92.99,,Orthodox,1981-10-05,0,0,0,0,7.32,100,0,21.9
Daniel McWilliams,The Animal,15,37,0,185.42,83.91,,,,3.36,77,0,0,0,0,100,21.6
Dan Molina,,13,9,0,177.8,97.98,,,,0,0,5.58,60,0,0,0,20.9
Paul Ruiz,,7,4,0,167.64,61.23,,,,1.4,33,1.4,75,0,0,100,20.9
Collin Huckbody,All In,8,2,0,190.5,83.91,193.04,Orthodox,1994-09-29,2.05,60,2.73,42,10.23,100,0,20.4
Gerald Strebendt,The Finishing Machine,9,7,0,175.26,70.31,,Orthodox,1979-03-01,0,0,4,38,0,0,0,16.4
Isaiah Hill,,5,7,1,177.8,70.31,,,,4.84,50,0.97,80,0,0,66,14.5
Kenneth Seegrist,,4,7,0,182.88,83.91,,Orthodox,,3.21,66,1.28,0,0,0,40,14.4
Will Kerr,,9,3,0,177.8,70.31,175.26,Orthodox,1982-10-21,1.91,42,6.22,33,0,0,0,14.3
Neil Grove,Goliath,12,8,1,198.12,120.2,,Orthodox,1971-01-18,0,0,0,0,0,0,100,14.3
Raphael Butler,The Silencer,9,2,1,190.5,118.39,,,,4.69,45,0.94,91,0,0,100,14.1
Bo Nickal,,5,0,0,185.42,83.91,193.04,Southpaw,1996-01-14,2.76,62,0.55,75,11.04,50,0,13.8
Ian Entwistle,Enty,9,3,0,165.1,61.23,,Orthodox,1986-11-19,0.11,7,7.36,31,0,0,0,12.1
Megumi Fujii,Mega Megu,26,3,0,160.02,51.26,,,,2.4,42,0,100,0,0,0,12
Gaston Reyno,Tonga,6,2,0,182.88,65.77,,,,7.79,62,3.9,44,0,0,0,11.7
Kenny Ento,Tha' Dragon,14,15,0,187.96,87.09,,,,8.41,79,0,100,5.49,100,0,11
AJ McKee,Mercenary,8,0,0,177.8,65.77,,,,2.75,32,0.92,80,11.01,100,100,11
Westin Wilson,,16,8,0,185.42,65.77,185.42,Southpaw,1989-01-24,1.38,50,7.59,26,0,0,0,10.3
Philip Perez,,7,5,1,165.1,70.31,,Southpaw,,1.36,100,0.68,66,10.23,100,0,10.2
Brandon Shuey,Big Dawg,7,6,0,170.18,70.31,,Orthodox,1976-02-01,0.68,33,1.36,0,0,0,0,10.2
Dave Phillips,The Rockstar,13,7,0,182.88,83.91,,Orthodox,1980-01-12,0,0,2,25,0,0,0,10
Johnny Sampaio,,3,1,0,172.72,77.11,,Orthodox,1975-09-11,1.32,40,2.64,50,9.89,50,0,9.9
Dione Barbosa,The Witch,6,2,0,167.64,56.7,167.64,Orthodox,1992-05-08,0.87,50,0.65,66,3.27,100,0,9.8
Zach Reese,Savage,6,1,0,193.04,83.91,195.58,Switch,1994-03-24,3.93,66,6.56,28,0,0,0,9.8
Rodrigo Gripp de Sousa,Riscado,7,9,0,180.34,92.99,,Orthodox,,0.48,23,4.81,52,0,0,0,9.6
Justin Burlinson,,6,1,0,185.42,77.11,187.96,Switch,1997-05-19,1.24,40,3.09,61,0,0,100,9.3
Poppies Martinez,The Tachi Kid,29,11,0,175.26,65.77,,,,2.88,50,2.16,51,1.54,33,50,9.2
Josh Rafferty,,9,8,0,182.88,77.11,,Orthodox,1981-01-06,0.6,33,3.6,50,0,0,0,9
Daniel Puder,,8,0,0,190.5,106.59,,Orthodox,1981-10-09,2.77,68,1.17,38,1.21,50,81,9
Yukio Sakaguchi,,6,7,0,175.26,83.91,,Orthodox,1973-07-26,0.3,25,2.4,50,4.5,100,0,9
Magomed Sultanakhmedov,,18,6,0,187.96,83.91,,Southpaw,,0,0,2.4,42,9,100,0,9
Jeff Newton,,4,2,0,187.96,92.99,,Sideways,1966-12-11,0.28,20,1.41,52,0,0,0,8.5
Emiliano Sordi,He-Man,16,7,0,187.96,92.99,,Orthodox,1991-02-15,4.79,50,4.79,48,0,0,100,8.3
Erik Apple,,10,3,0,182.88,77.11,,Orthodox,1977-08-26,0,0,0.54,81,0,0,0,8.1
Fazlo Mulabitinovic,,4,2,0,,61.23,,,,0.54,16,0,100,0,0,0,8
J.T Taylor,The Outlaw,7,7,0,177.8,,,,,3.17,80,3.7,26,3.96,100,0,7.9
Adam Meredith,,5,3,0,187.96,77.11,,,,2.63,50,2.11,55,7.89,100,100,7.9
Klayton Mai,,8,3,0,175.26,56.7,,,,1.53,42,1.02,63,3.83,100,0,7.7
Ron Keslar,,11,9,0,,83.91,,,,0,0,2.05,60,0,0,100,7.7
Bobby McAndrews,,1,3,0,,,,Orthodox,,2.56,83,1.03,50,0,0,33,7.7
Ansar Chalangov,,14,5,0,175.26,77.11,,Orthodox,1979-10-30,0.68,66,1.69,54,0,0,0,7.6
Jeremiah Constant,,11,8,0,185.42,108.86,,Orthodox,1974-07-19,1.5,75,3.25,43,0,0,0,7.5
Paul Sass,,14,2,0,182.88,70.31,185.42,Orthodox,1988-08-04,0.53,26,1.9,51,0.53,16,33,7.4
Eddy Millis,,0,2,0,185.42,83.91,,,,0,0,3.36,22,0,0,0,7.2
James Lee,,15,3,0,180.34,92.99,,Southpaw,1973-09-22,1.4,42,3.72,27,13.95,50,0,7
Mikhail Iloukhine,,30,11,1,175.26,92.99,,Orthodox,1966-11-21,0.16,20,2.95,26,0,0,0,7
Kyle Jensen,,4,11,2,175.26,77.11,,Orthodox,1979-07-20,0,0,0.92,60,6.92,100,0,6.9
Ilya Kotau,,1,2,0,,77.11,,,,3.94,40,4.38,44,6.57,100,100,6.6
Trevor Harris,,2,2,0,167.64,65.77,,,,1.73,50,0.43,75,0,0,50,6.5
Jinnosuke Kashimura,,4,2,0,170.18,70.31,180.34,Southpaw,2001-08-12,0.21,50,7.37,25,3.16,100,0,6.3
Tom Erikson,The Big Cat,9,4,1,190.5,127.01,,Orthodox,,0.94,47,1.87,25,4.68,60,100,6.2
Jason Black,The Black Legion,23,4,1,172.72,70.31,,Orthodox,1972-07-15,1.06,47,2.6,45,0.48,33,28,6.2
Francisco France,Kiko,13,5,1,182.88,92.99,,,,0.54,33,3.51,27,0,0,0,6.1
John Albert,Prince,6,5,0,172.72,61.23,172.72,Orthodox,1986-10-13,3.05,49,2.82,35,0,0,50,6.1
Daniel Swain,,20,10,1,175.26,65.77,177.8,Orthodox,1991-01-30,0.8,44,3.2,40,0,0,0,6
Neiman Gracie,,6,0,0,182.88,77.11,,,,0.77,100,0.38,75,5.77,100,0,5.8
Shamil Gaziev,,11,0,0,193.04,120.2,198.12,Orthodox,1990-02-10,1.52,100,0,0,0,0,0,5.7
Masakatsu Funaki,,39,13,2,182.88,83.91,,Southpaw,1969-03-13,1.82,68,2.92,35,0,0,0,5.5
David Terrell,The Soul Assassin,6,2,0,185.42,83.91,,Southpaw,1978-01-09,2.34,63,2.71,37,5.54,50,0,5.5
Rob MacDonald,Maximus,5,4,0,190.5,92.99,198.12,Orthodox,1978-09-05,1.8,50,2.04,46,7.19,80,80,5.4
Nick Barnes,,11,2,0,180.34,77.11,,,,2.86,29,8.93,51,5.36,100,100,5.4
Matt Arroyo,No Regard,3,3,0,177.8,77.11,182.88,Orthodox,1982-09-01,1.62,47,2.01,58,2.12,36,100,5.3
Diego Lopes,,23,6,0,180.34,65.77,182.88,Orthodox,1994-12-30,2.47,53,4.91,37,0,0,42,5.3
Colin Robinson,Big C,10,12,0,193.04,110.22,,Orthodox,1968-11-27,6.19,69,7.91,37,2.58,100,50,5.2
Nick Garcia,Nitro,8,3,0,162.56,56.7,,,,0.67,25,3.03,50,0,0,83,5.1
