name,nickname,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,date_of_birth,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes
Robert Drysdale,,7,0,0,190.5,92.99,,Orthodox,1981-10-05,0,0,0,0,7.32,100,0,21.9
Daniel McWilliams,The Animal,15,37,0,185.42,83.91,,,,3.36,77,0,0,0,0,100,21.6
Dan Molina,,13,9,0,177.8,97.98,,,,0,0,5.58,60,0,0,0,20.9
Paul Ruiz,,7,4,0,167.64,61.23,,,,1.4,33,1.4,75,0,0,100,20.9
Collin Huckbody,All In,8,2,0,190.5,83.91,193.04,Orthodox,1994-09-29,2.05,60,2.73,42,10.23,100,0,20.4
Gerald Strebendt,The Finishing Machine,9,7,0,175.26,70.31,,Orthodox,1979-03-01,0,0,4,38,0,0,0,16.4
Isaiah Hill,,5,7,1,177.8,70.31,,,,4.84,50,0.97,80,0,0,66,14.5
Kenneth Seegrist,,4,7,0,182.88,83.91,,Orthodox,,3.21,66,1.28,0,0,0,40,14.4
Will Kerr,,9,3,0,177.8,70.31,175.26,Orthodox,1982-10-21,1.91,42,6.22,33,0,0,0,14.3
Neil Grove,Goliath,12,8,1,198.12,120.2,,Orthodox,1971-01-18,0,0,0,0,0,0,100,14.3
Raphael Butler,The Silencer,9,2,1,190.5,118.39,,,,4.69,45,0.94,91,0,0,100,14.1
Bo Nickal,,5,0,0,185.42,83.91,193.04,Southpaw,1996-01-14,2.76,62,0.55,75,11.04,50,0,13.8
Ian Entwistle,Enty,9,3,0,165.1,61.23,,Orthodox,1986-11-19,0.11,7,7.36,31,0,0,0,12.1
